,Number,Age,Gender
0,093,22,F
1,143,18,F
2,095,23,F
3,096,26,F
4,097,27,F
5,098,21,F
6,099,43,F
7,100,39,F
8,151,30,M
9,102,30,F
10,103,31,M
11,104,40,F
12,105,19,F
13,106,21,F
14,107,30,F
15,108,25,F
16,109,25,F
17,111,33,F
18,112,26,F
19,113,26,F
20,114,20,M
21,122,39,F
22,116,45,F
23,117,30,M
24,120,22,M
25,121,44,M
26,124,32,M
27,125,27,M
28,126,21,M
29,127,36,M
30,144,28,M
31,129,18,M
32,130,25,M
33,131,19,M
34,145,25,M
35,134,25,F
36,146,28,M
37,136,43,M
38,137,22,M
39,139,25,M
40,141,31,M
41,142,26,M
42,147,19,F
43,148,19,F
44,149,45,M
45,134,43,M
46,124,38,M
47,115,19,M
48,123,42,M
49,110,44,F
50,138,31,M
51,140,33,F
52,133,30,F
53,101,45,M
54,150,22,M
